filename,speaker_id,speaker_name,gender,duration_sec,sample_rate,samples
2277_2277-149896-0026.wav,2277,zinniz,female,4.92,16000,78720
2277_2277-149896-0005.wav,2277,zinniz,female,5.6,16000,89600
2277_2277-149896-0033.wav,2277,zinniz,female,2.845,16000,45520
2277_2277-149896-0006.wav,2277,zinniz,female,4.97,16000,79520
2277_2277-149896-0018.wav,2277,zinniz,female,4.545,16000,72720
2277_2277-149896-0034.wav,2277,zinniz,female,4.005,16000,64080
2277_2277-149896-0021.wav,2277,zinniz,female,3.37,16000,53920
2277_2277-149896-0015.wav,2277,zinniz,female,3.675,16000,58800
2277_2277-149896-0012.wav,2277,zinniz,female,2.495,16000,39920
2277_2277-149896-0027.wav,2277,zinniz,female,3.595,16000,57520
1988_1988-147956-0018.wav,1988,Ransom,female,3.535,16000,56560
1988_1988-147956-0010.wav,1988,Ransom,female,3.855,16000,61680
1988_1988-147956-0024.wav,1988,Ransom,female,3.085,16000,49360
1988_1988-147956-0007.wav,1988,Ransom,female,5.865,16000,93840
1988_1988-147956-0023.wav,1988,Ransom,female,4.14,16000,66240
1988_1988-147956-0025.wav,1988,Ransom,female,2.41,16000,38560
1988_1988-147956-0004.wav,1988,Ransom,female,9.025,16000,144400
1988_1988-147956-0015.wav,1988,Ransom,female,4.175,16000,66800
1988_1988-147956-0009.wav,1988,Ransom,female,5.16,16000,82560
1988_1988-147956-0013.wav,1988,Ransom,female,2.89,16000,46240
777_777-126732-0074.wav,777,fling93,male,3.48,16000,55680
777_777-126732-0019.wav,777,fling93,male,4.94,16000,79040
777_777-126732-0070.wav,777,fling93,male,7.315,16000,117040
777_777-126732-0072.wav,777,fling93,male,2.71,16000,43360
777_777-126732-0057.wav,777,fling93,male,10.975,16000,175600
777_777-126732-0006.wav,777,fling93,male,4.575,16000,73200
777_777-126732-0003.wav,777,fling93,male,9.45,16000,151200
777_777-126732-0029.wav,777,fling93,male,3.585,16000,57360
777_777-126732-0079.wav,777,fling93,male,10.04,16000,160640
777_777-126732-0021.wav,777,fling93,male,3.635,16000,58160
1673_1673-143396-0014.wav,1673,Tonia,female,13.985,16000,223760
1673_1673-143396-0000.wav,1673,Tonia,female,14.675,16000,234800
1673_1673-143396-0015.wav,1673,Tonia,female,6.305,16000,100880
1673_1673-143396-0017.wav,1673,Tonia,female,8.43,16000,134880
1673_1673-143396-0020.wav,1673,Tonia,female,15.02,16000,240320
1673_1673-143396-0005.wav,1673,Tonia,female,11.7400625,16000,187841
1673_1673-143396-0013.wav,1673,Tonia,female,15.52,16000,248320
1673_1673-143396-0008.wav,1673,Tonia,female,17.65,16000,282400
1673_1673-143396-0001.wav,1673,Tonia,female,14.05,16000,224800
1673_1673-143396-0012.wav,1673,Tonia,female,14.47,16000,231520
1993_1993-147965-0005.wav,1993,Wendy Belcher,female,8.66,16000,138560
1993_1993-147965-0002.wav,1993,Wendy Belcher,female,9.36,16000,149760
1993_1993-147965-0001.wav,1993,Wendy Belcher,female,2.685,16000,42960
1993_1993-147965-0008.wav,1993,Wendy Belcher,female,5.5,16000,88000
1993_1993-147965-0003.wav,1993,Wendy Belcher,female,7.375,16000,118000
1993_1993-147965-0004.wav,1993,Wendy Belcher,female,2.915,16000,46640
1993_1993-147965-0007.wav,1993,Wendy Belcher,female,7.57,16000,121120
1993_1993-147965-0000.wav,1993,Wendy Belcher,female,4.37,16000,69920
1993_1993-147965-0006.wav,1993,Wendy Belcher,female,8.83,16000,141280
1993_1993-147964-0005.wav,1993,Wendy Belcher,female,10.515,16000,168240
1272_1272-128104-0001.wav,1272,John Rose,male,4.815,16000,77040
1272_1272-128104-0014.wav,1272,John Rose,male,2.245,16000,35920
1272_1272-128104-0000.wav,1272,John Rose,male,5.855,16000,93680
1272_1272-128104-0009.wav,1272,John Rose,male,18.29,16000,292640
1272_1272-128104-0006.wav,1272,John Rose,male,5.64,16000,90240
1272_1272-128104-0010.wav,1272,John Rose,male,5.6,16000,89600
1272_1272-128104-0012.wav,1272,John Rose,male,5.38,16000,86080
1272_1272-128104-0005.wav,1272,John Rose,male,9.01,16000,144160
1272_1272-128104-0011.wav,1272,John Rose,male,15.115,16000,241840
1272_1272-128104-0003.wav,1272,John Rose,male,9.9,16000,158400
174_174-50561-0005.wav,174,Peter Eastman,male,5.705,16000,91280
174_174-50561-0018.wav,174,Peter Eastman,male,2.12,16000,33920
174_174-50561-0006.wav,174,Peter Eastman,male,5.215,16000,83440
174_174-50561-0017.wav,174,Peter Eastman,male,2.825,16000,45200
174_174-50561-0007.wav,174,Peter Eastman,male,10.855,16000,173680
174_174-50561-0002.wav,174,Peter Eastman,male,2.145,16000,34320
174_174-50561-0012.wav,174,Peter Eastman,male,2.07,16000,33120
174_174-50561-0009.wav,174,Peter Eastman,male,2.04,16000,32640
174_174-50561-0013.wav,174,Peter Eastman,male,10.615,16000,169840
174_174-50561-0010.wav,174,Peter Eastman,male,14.91,16000,238560
1462_1462-170138-0027.wav,1462,E. Tavano,female,5.005,16000,80080
1462_1462-170138-0021.wav,1462,E. Tavano,female,9.645,16000,154320
1462_1462-170138-0025.wav,1462,E. Tavano,female,4.44,16000,71040
1462_1462-170138-0026.wav,1462,E. Tavano,female,2.385,16000,38160
1462_1462-170138-0014.wav,1462,E. Tavano,female,4.92,16000,78720
1462_1462-170138-0008.wav,1462,E. Tavano,female,6.32,16000,101120
1462_1462-170138-0011.wav,1462,E. Tavano,female,11.42,16000,182720
1462_1462-170138-0012.wav,1462,E. Tavano,female,3.86,16000,61760
1462_1462-170138-0023.wav,1462,E. Tavano,female,9.5,16000,152000
1462_1462-170138-0001.wav,1462,E. Tavano,female,3.985,16000,63760
251_251-136532-0019.wav,251,Mark Nelson,male,9.345,16000,149520
251_251-136532-0009.wav,251,Mark Nelson,male,3.625,16000,58000
251_251-136532-0001.wav,251,Mark Nelson,male,6.855,16000,109680
251_251-136532-0002.wav,251,Mark Nelson,male,6.55,16000,104800
251_251-136532-0006.wav,251,Mark Nelson,male,2.565,16000,41040
251_251-136532-0023.wav,251,Mark Nelson,male,8.395,16000,134320
251_251-136532-0017.wav,251,Mark Nelson,male,15.365,16000,245840
251_251-136532-0008.wav,251,Mark Nelson,male,9.79,16000,156640
251_251-136532-0011.wav,251,Mark Nelson,male,8.445,16000,135120
251_251-136532-0010.wav,251,Mark Nelson,male,6.56,16000,104960
652_652-130726-0029.wav,652,Scott Walter,male,7.775,16000,124400
652_652-130726-0016.wav,652,Scott Walter,male,10.41,16000,166560
652_652-130726-0035.wav,652,Scott Walter,male,5.09,16000,81440
652_652-130726-0027.wav,652,Scott Walter,male,5.235,16000,83760
652_652-130726-0010.wav,652,Scott Walter,male,6.85,16000,109600
652_652-130726-0003.wav,652,Scott Walter,male,6.365,16000,101840
652_652-130726-0002.wav,652,Scott Walter,male,13.885,16000,222160
652_652-130726-0026.wav,652,Scott Walter,male,6.135,16000,98160
652_652-130726-0025.wav,652,Scott Walter,male,2.63,16000,42080
652_652-130726-0012.wav,652,Scott Walter,male,5.8,16000,92800
422_422-122949-0020.wav,422,President Lethe,male,23.41,16000,374560
422_422-122949-0035.wav,422,President Lethe,male,4.695,16000,75120
422_422-122949-0012.wav,422,President Lethe,male,15.7,16000,251200
422_422-122949-0008.wav,422,President Lethe,male,9.3,16000,148800
422_422-122949-0028.wav,422,President Lethe,male,3.665,16000,58640
422_422-122949-0026.wav,422,President Lethe,male,13.11,16000,209760
422_422-122949-0000.wav,422,President Lethe,male,20.22,16000,323520
422_422-122949-0017.wav,422,President Lethe,male,2.19,16000,35040
422_422-122949-0023.wav,422,President Lethe,male,14.94,16000,239040
